Title;Primary Category 1;Secondary Category 1;Tertiary Category 1;Primary Category 2;Secondary Category 2;Tertiary Category 2;Primary Category 3;Secondary Category 3;Tertiary Category 3
Structured Information on State and Evolution of Dockerfiles on GitHub;MSR techniques;dataset and benchmark creation;;;;;;;
Empirical Study in using Version Histories for Change Risk Classification;software maintenance;change patterns and evolution;;software quality;defects;detection;software quality;defects;fixes
Crossflow: A Framework for Distributed Mining of Software Repositories;MSR techniques;tool development;;;;;;;
Candoia: A Platform for Building and Sharing Mining Software Repositories Tools as Apps;MSR techniques;tool development;;;;;;;
Half-Century of Unix: History, Preservation, and Lessons Learned;software architecture and design;;;software maintenance;;;collaboration and coordination;;
The Software Heritage Graph Dataset: Public Software Development Under One Roof;MSR techniques;dataset and benchmark creation;;;;;;;
An Empirical Study of Multiple Names and Email Addresses in OSS Version Control Repositories;MSR techniques;threats;;collaboration and coordination;;;;;
Software Evolution and Quality Data from Controlled, Multiple, Industrial Case Studies;no MSR study;;;;;;;;
CodeLL: A Lifelong Learning Dataset to Support the Co-Evolution of Data and Language Models of Code;development support and automation;generation;code generation;;;;;;
What Is the Gist? Understanding the Use of Public Gists on GitHub;software usage;patterns;;;;;;;
Co-evolution of Infrastructure and Source Code - An Empirical Study;software maintenance;change patterns and evolution;;;;;;;
Forking Without Clicking: on How to Identify Software Repository Forks;software architecture and design;features and variants;;software maintenance;reuse and clones;;;;
Empirical Standards for Repository Mining;MSR techniques;threats;;;;;;;
An Architectural Evolution Dataset;MSR techniques;dataset and benchmark creation;;software architecture and design;features and variants;;software architecture and design;conformance and evolution;
AIMMX: Artificial Intelligence Model Metadata Extractor;MSR techniques;tool development;;;;;;;
Availability and Usage of Platform-Specific APIs: A First Empirical Study;software usage;popularity;;software maintenance;dependency management;;;;
World of Code: An Infrastructure for Mining the Universe of Open Source VCS Data;MSR techniques;tool development;;;;;;;
The Impact of Switching to a Rapid Release Cycle on the Integration Delay of Addressed Issues - An Empirical Study of the Mozilla Firefox Project;software governance;release management;;software maintenance;integration;;;;
An Empirical Analysis of the Docker Container Ecosystem on GitHub;software maintenance;development operations;builds;software maintenance;dependency management;;;;
Investigating Code Review Practices in Defective Files: An Empirical Study of the Qt System;software quality;code reviews;;software quality;defects;patterns;;;
