Title;Primary Category 1;Secondary Category 1;Tertiary Category 1;Primary Category 2;Secondary Category 2;Tertiary Category 2;Primary Category 3;Secondary Category 3;Tertiary Category 3
A Declarative Foundation for Comprehensive History Querying;MSR techniques;tool development;;software maintenance;change patterns and evolution;;;;
The List is the Process: Reliable Pre-Integration Tracking of Commits on Mailing Lists;software quality;code reviews;;collaboration and coordination;communication;;MSR techniques;tool development;
Do You Remember This Source Code?;no MSR study;;;;;;;;
How Do Companies Collaborate in Open Source Ecosystems? An Empirical Study of OpenStack;collaboration and coordination;organisational structures;;software maintenance;activity and productivity;;;;
Assessing the Threat of Untracked Changes in Software Evolution;MSR techniques;threats;;software maintenance;refactoring;;;;
Classifying Developers into Core and Peripheral: An Empirical Study on Count and Network Metrics;collaboration and coordination;organisational structures;;;;;;;
Fast Feedback Cycles in Empirical Software Engineering Research;no MSR study;;;;;;;;
Rapid Multi-Purpose, Multi-Commit Code Analysis;MSR techniques;tool development;;software maintenance;change patterns and evolution;;;;
[Journal First] The Scent of a Smell: An Extensive Comparison Between Textual and Structural Smells;software maintenance;technical debt;code smells;;;;;;
Too Quiet in the Library: An Empirical Study of Security Updates in Android Apps' Native Code;software quality;vulnerabilities and security;;software maintenance;dependency management;;software maintenance;activity and productivity;
Lessons from Eight Years of Operational Data from a Continuous Integration Service: An Exploratory Case Study of CircleCI;software maintenance;development operations;CI/CD;software maintenance;builds;;software usage;patterns;
Commit Message Matters: Investigating Impact and Evolution of Commit Message Quality;software architecture and design;documentation;;software quality;defects;patterns;collaboration and coordination;communication;
What Challenges Do Developers Face About Checked-in Secrets in Software Artifacts?;software quality;vulnerabilities and security;;collaboration and coordination;communication;;;;
The Impact of Mislabelling on the Performance and Interpretation of Defect Prediction Models;software quality;defects;prediction;MSR techniques;threats;;;;
Adding Sparkle to Social Coding: An Empirical Study of Repository Badges in the npm Ecosystem;collaboration and coordination;mechanisms;;software maintenance;activity and productivity;;software quality;;
Cascade: A Universal Programmer-Assisted Type Qualifier Inference Tool;MSR techniques;tool development;;development support and automation;;;;;
9.6 Million Links in Source Code Comments: Purpose, Evolution, and Decay;software maintenance;dependency management;;software architecture and design;documentation;;;;
When and Why Your Code Starts to Smell Bad;software maintenance;technical debt;code smells;software maintenance;change patterns and evolution;;;;
Gang of Eight: A Defect Taxonomy for Infrastructure as Code Scripts;software quality;defects;patterns;software architecture and design;configuration;;;;
Same File, Different Changes: The Potential of Meta-Maintenance on GitHub;software maintenance;reuse and clones;;software maintenance;change patterns and evolution;;software architecture and design;features and variants;
RAT: A Refactoring-Aware Traceability Model for Bug Localization;software maintenance;refactoring;;software quality;defects;localisation;;;
ViolationTracker: Building Precise Histories for Static Analysis Violations;MSR techniques;tool development;;software quality;defects;patterns;;;
Discovering Repetitive Code Changes in Python ML Systems;MSR techniques;tool development;;software maintenance;change patterns and evolution;;software maintenance;refactoring;
IoT Bugs and Development Challenges;software quality;defects;patterns;collaboration and coordination;communication;;;;
Tracking Static Analysis Violations over Time to Capture Developer Characteristics;software quality;defects;patterns;software maintenance;change patterns and evolution;;collaboration and coordination;human factors and values;
Seamless Variability Management with the Virtual Platform;software architecture and design;features and variants;;software architecture and design;configuration;;software maintenance;effort estimation;
Automatically Matching Bug Reports With Related App Reviews;MSR techniques;tool development;;software usage;end-user reviews;;software quality;defects;
A Large Scale Study of License Usage on GitHub;software governance;licensing;;;;;;;
Big Data = Big Insights? Operationalising Brooks' Law in a Massive GitHub Data Set;software maintenance;activity and productivity;;collaboration and coordination;organisational structures;;MSR techniques;threats;
Technical Leverage in a Software Ecosystem: Development Opportunities and Security Risks;software maintenance;dependency management;;software maintenance;change patterns and evolution;;software quality;vulnerabilities and security;
Table of contents;no MSR study;;;;;;;;
