Title;Primary Category 1;Secondary Category 1;Tertiary Category 1;Primary Category 2;Secondary Category 2;Tertiary Category 2;Primary Category 3;Secondary Category 3;Tertiary Category 3
Bug Analysis in Jupyter Notebook Projects: An Empirical Study;software quality;defects;patterns;software maintenance;;;;;
Security Misconfigurations in Open Source Kubernetes Manifests: An Empirical Study;software quality;vulnerabilities and security;patterns;software maintenance;development operations;;software architecture and design;configuration;
An Empirical Study on GitHub Pull Requests’ Reactions;collaboration and coordination;communication;sentiment analysis;collaboration and coordination;mechanisms;;;;
Are Multi-Language Design Smells Fault-Prone? An Empirical Study;software architecture and design;patterns and anti-patterns;;software quality;defects;patterns;;;
How C++ Templates Are Used for Generic Programming: An Empirical Study on 50 Open Source Systems;development support and automation;generation;code generation;software maintenance;reuse and clones;;;;
The Lost World: Characterizing and Detecting Undiscovered Test Smells;software quality;tests;;collaboration and coordination;communication;sentiment analysis;software maintenance;refactoring;
Revisiting the Identification of the Co-evolution of Production and Test Code;software quality;tests;;MSR techniques;tool development;;software maintenance;change patterns and evolution;
On the Way to SBOMs: Investigating Design Issues and Solutions in Practice;collaboration and coordination;communication;topic modeling;software architecture and design;documentation;;;;
Exploring the Capabilities of LLMs for Code Change Related Tasks;development support and automation;generation;code generation;development support and automation;generation;commit message generation;development support and automation;generation;code review generation
Benchmarking and Categorizing the Performance of Neural Program Repair Systems for Java;software quality;defects;fixes;development support and automation;ticket and task resolution;;MSR techniques;dataset and benchmark creation;
Measuring and Mining Community Evolution in Developer Social Networks with Entropy-Based Indices;collaboration and coordination;organisational structures;;;;;;;
Just-In-Time Defect Prediction on JavaScript Projects: A Replication Study;software quality;defects;prediction;software maintenance;change patterns and evolution;;;;
An Empirical Analysis of Issue Templates Usage in Large-Scale Projects on GitHub;software usage;popularity;;software usage;patterns;;development support and automation;ticket and task resolution;
Security Smells in Ansible and Chef Scripts: A Replication Study;software quality;vulnerabilities and security;;software maintenance;technical debt;code smells;;;
Correlating Automated and Human Evaluation of Code Documentation Generation Quality;development support and automation;generation;documentation generation;;;;;;
Mutation Testing in Evolving Systems: Studying the Relevance of Mutants to Code Evolution;software quality;tests;;software maintenance;change patterns and evolution;;;;
There’s no Such Thing as a Free Lunch: Lessons Learned from Exploring the Overhead Introduced by the Greenkeeper Dependency Bot in Npm;software maintenance;dependency management;;software maintenance;bots;;development support and automation;recommendations;
CodeMatcher: Searching Code Based on Sequential Semantics of Important Query Words;development support and automation;information retrieval;;software maintenance;reuse and clones;;MSR techniques;tool development;
Automated Mapping of Vulnerability Advisories onto their Fix Commits in Open Source Repositories;software quality;vulnerabilities and security;detection;software quality;vulnerabilities and security;fixes;MSR techniques;tool development;
Data Complexity: A New Perspective for Analyzing the Difficulty of Defect Prediction Tasks;software quality;defects;prediction;MSR techniques;dataset and benchmark creation;;;;
What Quality Aspects Influence the Adoption of Docker Images?;software maintenance;development operations;;software quality;vulnerabilities and security;;software usage;popularity;
How Do Successful and Failed Projects Differ? A Socio-Technical Analysis;software governance;project success;;collaboration and coordination;organisational structures;;;;
Understanding Software-2.0: A Study of Machine Learning Library Usage and Evolution;software maintenance;dependency management;;software maintenance;updates and upgrades;;software usage;popularity;
Exploring the Impact of Code Clones on Deep Learning Software;software maintenance;reuse and clones;;software quality;defects;patterns;;;
Understanding Vulnerability Inducing Commits of the Linux Kernel;software quality;vulnerabilities and security;patterns;software maintenance;change patterns and evolution;;collaboration and coordination;expertise;
Automatic Core-Developer Identification on GitHub: A Validation Study;collaboration and coordination;organisational structures;;;;;;;
Predicting the Change Impact of Resolving Defects by Leveraging the Topics of Issue Reports in Open Source Software Systems;development support and automation;ticket and task resolution;;software maintenance;change impact analysis;;;;
